Date,Airline,Source,Destination,Dep_time,Arr_time,Durtion,Route,stop,price
01-Nov,GO FIRST,Bangalore,Delhi,06:00,08:40,02h 40m,BLR--->DEL,non-stop,"7,487"
01-Nov,GO FIRST,Bangalore,Delhi,21:15,23:55,02h 40m,BLR--->DEL,non-stop,"7,487"
01-Nov,SpiceJet,Bangalore,Delhi,02:10,04:50,02h 40m,BLR--->DEL,non-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,12:55,15:40,02h 45m,BLR--->DEL,non-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,14:35,17:20,02h 45m,BLR--->DEL,non-stop,"7,488"
01-Nov,SpiceJet,Bangalore,Delhi,22:35,01:20,02h 45m,BLR--->DEL,non-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,05:30,08:20,02h 50m,BLR--->DEL,non-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,07:50,10:40,02h 50m,BLR--->DEL,non-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,09:40,12:30,02h 50m,BLR--->DEL,non-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,17:40,20:30,02h 50m,BLR--->DEL,non-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,18:35,21:25,02h 50m,BLR--->DEL,non-stop,"7,488"
01-Nov,SpiceJet,Bangalore,Delhi,19:10,22:00,02h 50m,BLR--->DEL,non-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,20:45,23:35,02h 50m,BLR--->DEL,non-stop,"7,488"
01-Nov,Indigo,Bangalore,Delhi,21:30,00:20,02h 50m,BLR--->DEL,non-stop,"7,488"
01-Nov,SpiceJet,Bangalore,Delhi,06:05,09:05,03h 00m,BLR--->DEL,non-stop,"7,488"
01-Nov,AirAsia,Bangalore,Delhi,22:10,00:35,02h 25m,BLR--->DEL,non-stop,"7,489"
01-Nov,AirAsia,Bangalore,Delhi,11:25,14:05,02h 40m,BLR--->DEL,non-stop,"7,489"
01-Nov,AirAsia,Bangalore,Delhi,19:45,22:35,02h 50m,BLR--->DEL,non-stop,"7,489"
01-Nov,Vistara,Bangalore,Delhi,17:55,20:30,02h 35m,BLR--->DEL,non-stop,"7,489"
01-Nov,Vistara,Bangalore,Delhi,21:10,23:45,02h 35m,BLR--->DEL,non-stop,"7,489"
01-Nov,Vistara,Bangalore,Delhi,07:00,09:40,02h 40m,BLR--->DEL,non-stop,"7,489"
01-Nov,Vistara,Bangalore,Delhi,08:00,10:40,02h 40m,BLR--->DEL,non-stop,"7,489"
01-Nov,Vistara,Bangalore,Delhi,11:30,14:10,02h 40m,BLR--->DEL,non-stop,"7,489"
01-Nov,Vistara,Bangalore,Delhi,19:40,22:25,02h 45m,BLR--->DEL,non-stop,"7,489"
01-Nov,Air India,Bangalore,Delhi,10:25,13:10,02h 45m,BLR--->DEL,non-stop,"7,489"
01-Nov,Air India,Bangalore,Delhi,20:00,22:45,02h 45m,BLR--->DEL,non-stop,"7,489"
01-Nov,Air India,Bangalore,Delhi,17:45,20:35,02h 50m,BLR--->DEL,non-stop,"7,489"
01-Nov,AirAsia,Bangalore,Delhi,20:30,01:05,04h 35m,BLR--->BOM-->DEL,1-stop,"7,485"
01-Nov,AirAsia,Bangalore,Delhi,05:45,10:55,05h 10m,BLR--->GOI-->DEL,1-stop,"7,485"
01-Nov,AirAsia,Bangalore,Delhi,18:55,00:45,05h 50m,BLR--->CCU-->DEL,1-stop,"7,485"
01-Nov,AirAsia,Bangalore,Delhi,06:05,12:00,05h 55m,BLR--->COK-->DEL,1-stop,"7,485"
01-Nov,AirAsia,Bangalore,Delhi,07:25,13:50,06h 25m,BLR--->IXR-->DEL,1-stop,"7,485"
